query	Chr3	93.097	4230	2242	6406	85746039	85750216	0.0	6085
query	Chr3	88.406	3312	41414	44633	85774410	85777649	0.0	3838
query	Chr3	90.540	2833	90356	93140	85787871	85790682	0.0	3683
query	Chr3	94.888	1956	13104	15048	85757648	85759595	0.0	3040
query	Chr3	92.574	1966	11159	13091	85755438	85757387	0.0	2776
query	Chr3	89.383	2157	88247	90359	85785593	85787678	0.0	2608
query	Chr3	84.250	2546	34026	36542	8553090	8550564	0.0	2436
query	Chr3	88.509	2019	16451	18416	85760327	85762301	0.0	2353
query	Chr3	80.988	2956	31171	34086	57428349	57425460	0.0	2248
query	Chr3	88.263	1917	25977	27854	85769999	85771864	0.0	2211
query	Chr3	88.293	1922	27872	29754	85771854	85773683	0.0	2182
query	Chr3	83.601	2055	31926	33944	8555142	8553114	0.0	1871
query	Chr3	90.699	1301	23714	25003	85767943	85769230	0.0	1711
query	Chr3	82.815	1897	36552	38438	8550512	8548635	0.0	1670
query	Chr3	95.178	1037	8195	9227	85752640	85753675	0.0	1633
query	Chr3	88.989	1326	18191	19477	85762116	85763424	0.0	1589
query	Chr3	87.787	1351	9356	10700	85753668	85754916	0.0	1482
query	Chr3	91.310	794	93147	93931	85790732	85791506	0.0	1059
query	Chr3	86.155	939	729	1630	85744249	85745161	0.0	955
query	Chr3	88.871	638	1633	2243	85745125	85745757	0.0	756
query	Chr3	88.099	647	23088	23723	85767209	85767848	0.0	752
query	Chr3	81.429	1050	21903	22867	85764997	85766012	0.0	749
query	Chr3	94.515	474	74285	74757	85782422	85782891	0.0	726
query	Chr3	75.571	1445	32804	34234	73098217	73096787	0.0	688
query	Chr3	75.381	1442	32804	34230	66243664	66245089	0.0	667
query	Chr3	74.594	1602	32650	34230	44917077	44915507	0.0	656
query	Chr3	75.069	1444	32804	34234	37425401	37423972	0.0	647
query	Chr3	74.739	1532	32721	34230	25920130	25918624	4.93e-180	641
query	Chr3	74.931	1440	32804	34230	25830065	25828639	2.30e-178	636
query	Chr3	74.312	1600	32658	34234	20052030	20053605	8.25e-178	634
query	Chr3	74.844	1439	32804	34230	2183194	2184619	3.84e-176	628
query	Chr3	74.161	1610	32650	34235	44371561	44373140	2.31e-173	619
query	Chr3	89.940	497	10674	11163	85754931	85755404	1.08e-171	614
query	Chr3	74.566	1439	32804	34230	14750939	14749511	1.39e-170	610
query	Chr3	82.644	749	4	718	85743492	85744213	1.80e-169	606
query	Chr3	74.584	1444	32804	34230	19715574	19714148	2.33e-168	603
query	Chr3	74.574	1408	32837	34230	26517647	26519037	6.52e-164	588
query	Chr3	74.288	1439	32803	34230	27754677	27753254	8.43e-163	584
query	Chr3	74.378	1448	32804	34230	33944250	33942836	2.36e-158	569
query	Chr3	74.271	1407	32840	34230	71928702	71927313	3.95e-156	562
query	Chr3	73.976	1441	32804	34235	81572815	81574231	2.38e-153	553
query	Chr3	73.964	1448	32804	34230	36094561	36093136	3.98e-151	545
query	Chr3	85.130	538	7631	8153	85752020	85752528	1.45e-140	510
query	Chr3	73.380	1420	32840	34241	44861134	44859747	3.16e-132	483
query	Chr3	76.818	880	33357	34230	67093341	67092469	3.16e-132	483
query	Chr3	77.387	796	33446	34230	57402989	57403771	8.92e-123	451
query	Chr3	93.537	294	40585	40877	85773871	85774159	3.23e-117	433
query	Chr3	84.049	489	55875	56318	85776002	85776485	5.41e-115	425
query	Chr3	74.236	1211	84782	85956	7212115	7213262	3.25e-112	416
query	Chr3	79.927	548	33686	34230	79912182	79911636	3.28e-107	399
query	Chr3	89.720	321	44931	45250	85781926	85782235	3.28e-107	399
query	Chr3	84.562	434	20426	20826	85763800	85764228	4.24e-106	396
query	Chr3	90.604	298	73182	73471	85777708	85778003	2.55e-103	387
query	Chr3	89.711	311	44633	44933	85777708	85778015	9.18e-103	385
query	Chr3	79.021	572	33664	34234	85822176	85821616	1.19e-101	381
query	Chr3	88.608	316	74749	75059	85782980	85783290	5.52e-100	375
query	Chr3	91.078	269	45250	45507	85782422	85782686	3.35e-92	350
query	Chr3	86.159	289	16067	16347	85759882	85760168	2.64e-78	303
query	Chr3	93.814	194	45835	46027	85782684	85782876	2.06e-74	291
query	Chr3	71.136	1417	34518	35902	25918261	25916883	2.66e-73	287
query	Chr3	72.697	912	34516	35415	65603412	65604312	3.44e-72	283
query	Chr3	72.737	906	34516	35407	36839926	36840817	4.46e-71	279
query	Chr3	72.667	911	34516	35414	46984128	46985024	4.46e-71	279
query	Chr3	72.889	841	33392	34221	78809323	78810150	9.64e-68	268
query	Chr3	72.338	911	34516	35415	36092806	36091907	3.47e-67	267
query	Chr3	87.773	229	52853	53079	54615165	54615390	4.49e-66	263
query	Chr3	72.338	911	34518	35415	85821257	85820360	4.49e-66	263
query	Chr3	72.319	914	34516	35415	25828278	25827379	1.61e-65	261
query	Chr3	72.319	914	34516	35415	56858854	56857955	1.61e-65	261
query	Chr3	72.483	894	34525	35403	64367904	64367028	5.80e-65	259
query	Chr3	72.350	915	34516	35415	45345712	45346607	2.09e-64	257
query	Chr3	72.180	913	34517	35415	19713786	19712888	2.70e-63	254
query	Chr3	72.119	911	34516	35415	44915166	44914270	9.71e-63	252
query	Chr3	72.808	787	33392	34169	65339969	65340746	9.71e-63	252
query	Chr3	80.328	366	85997	86351	85657149	85656800	9.71e-63	252
query	Chr3	85.659	258	40924	41161	85774156	85774412	9.71e-63	252
query	Chr3	72.106	907	34515	35407	9546630	9545740	4.52e-61	246
query	Chr3	72.093	903	34516	35403	60362578	60363467	4.52e-61	246
query	Chr3	72.052	916	34516	35415	20053958	20054857	1.63e-60	244
query	Chr3	72.313	921	34518	35415	30546386	30547281	1.63e-60	244
query	Chr3	72.083	917	34516	35415	49353178	49352279	1.63e-60	244
query	Chr3	77.412	456	85260	85711	8836290	8835863	5.85e-60	243
query	Chr3	73.034	801	34516	35298	56316562	56317337	5.85e-60	243
query	Chr3	72.558	860	34516	35355	14600309	14599473	2.10e-59	241
query	Chr3	86.486	222	52855	53074	45247261	45247042	2.10e-59	241
