# Best collinear region per genome
# (regions.csv format, ready for pyGeSyn plot)
MSU,Chr1,2640645,2711455
W0632,chr1,2598110,2669798
W0639,chr1,2665024,2735900
W1080,chr1,2625895,2696742
W1107,chr1,2463858,2581823
W1117,chr1,2610994,2695269
W1719,chr1,2684449,2768712
W1723,chr1,2624878,2699719
W1839,chr1,2683700,2767968
W2319,chr1,2674139,2744809
W2332,chr1,2620673,2708822
W0179,chr1,2633094,2718192
W0590,chr1,2661998,2735655
W1735,chr1,2732728,2804805
W0630,chr1,2603501,2674811
W1084,chr1,2540326,2611076
W1142,chr1,2615614,2687536
W1547,chr1,2401120,2467417
W1619,chr1,2506391,2572687
W1677,chr1,2744800,2815692
W1679,chr1,2524904,2596831
W1726,chr1,2546461,2612739
W1731,chr1,2566823,2634114
W1732,chr1,2552671,2623420
W1787,chr1,2577165,2664083
W1865,chr1,2685674,2761091
W2053,chr1,2683108,2746652
W2064,chr1,2617995,2681539
W2305,chr1,2644817,2749426
W0103,chr1,2678233,2749455
W0107,chr1,2555408,2627337
W0147,chr1,2534616,2606549
W0627,chr1,2780125,2861557
W0108,chr1,2528332,2590828
W0143,chr1,2591437,2675688
W0166,chr1,2564339,2648619
W0169,chr1,2584789,2651088
W0171,chr1,2586213,2655439
W0180,chr1,2589154,2671921
W0600,chr1,2992543,3054276
W0634,chr1,2839071,2928722
W1093,chr1,2617622,2713639
W1126,chr1,2612211,2667748
W1214,chr1,2522681,2601507
W1236,chr1,2634916,2712653
W1550,chr1,2558629,2630724
W1552,chr1,2570957,2638070
W1556,chr1,2637145,2699344
W1859,chr1,2974163,3036353
W1880,chr1,2534936,2607887
W1890,chr1,2555368,2617160
W1895,chr1,2703448,2786240
W1919,chr1,2690993,2779045
W2022,chr1,2556910,2629468
W2108,chr1,5227997,5314944
W2197,chr1,2740780,2813346
W2267,chr1,2757380,2824439
W2308,chr1,2683109,2754626
W2318,chr1,2726862,2807760
W2320,chr1,2558981,2627155
W2321,chr1,2538865,2620039
W3054,chr1,2620306,2684405
W3090,chr1,2720602,2793497
W1976,chr1,2730304,2804213
W3007,chr1,2741743,2827747
W1292,chr1,2541478,2603694
W1553,chr1,2544599,2628878
W2283,chr1,2572469,2645110
W1718,chr1,2696620,2780886
W2036,chr1,2511353,2582337
W2051,chr1,2541744,2612729
W3037,chr1,822421,893210
W3038,chr1,2580540,2651341
W3046,chr1,2793430,2864652
W3047,chr1,2558049,2629416
W3051,chr1,2716499,2787661
W3055,chr1,2787432,2858328
W3063,chr1,2447206,2516074
W3066,chr1,2544629,2608238
W3071,chr1,2461764,2555982
W3074,chr1,3318254,3389071
W3082,chr1,2872249,2979323
W3086,chr1,2771866,2846809
W3088,chr1,2738791,2813870
W3092,chr1,2631120,2691640
W3096,chr1,2733208,2808265
W1559,chr1,2799512,2886485
W1725,chr1,2507019,2578008
W1943,chr1,2677890,2762173
W2275,chr1,2651317,2716041
W3000,chr1,3880592,3946033
W3009,chr1,2884735,2955634
W3012,chr1,2545526,2608226
W3029,chr1,2943274,3011177
W3033,chr1,2604845,2676213
W3035,chr1,2698852,2753466
W2099,chr1,2527288,2594124
W3040,chr1,2584285,2668489
W3052,chr1,2534568,2601408
W0133,chr1,2671454,2749093
W0135,chr1,2613968,2687879
W0136,chr1,2595689,2669604
W0137,chr1,2588416,2662331
W0149,chr1,2666011,2744110
W0573,chr1,2638968,2709709
W1536,chr1,2673678,2741835
W1777,chr1,2564366,2633670
W1783,chr1,2647641,2706490
W1809,chr1,2645459,2713609
W2005,chr1,2694105,2775333
W2066,chr1,2640721,2708549
W2311,chr1,2605957,2690227
W0157,chr1,2420683,2491434
W1668,chr1,2533287,2659395
W1748,chr1,2678166,2743506
W1750,W1750_321,90199,187611
W0145,chr1,2653302,2737574
W0164,chr1,2649654,2733787
W0234,chr1,2704564,2788837
W0594,chr1,2545226,2629504
W0596,chr1,2542224,2626504
W1557,chr1,2573686,2641563
W1810,chr1,2550248,2635348
W2310,chr1,2861535,2924667
W1666,chr1,2564445,2635329
W1737,chr1,2667123,2738014
W1825,chr1,2655621,2746388
W1970,chr1,2651201,2731177
W1736,chr1,2485653,2549200
W1742,chr1,2707856,2778585
